Job Title,Job ID,Location,Description,Apply Link
"Product Manager, YouTube Live Living Room",85393000904958662,"Bengaluru, India","Support Product Requirement Documents (PRDs) by collaborating with partner teams (e.g., engineers, Program Managers (PgMs), User Experience (UX)) during product design and development to implement the requirements.
Define product roadmaps by operationalizing defined strategy.
Articulate defined product goals in a way that captures attention and compels others to drive action despite obstacles and competing priorities.
Validate the market size and opportunity (e.g., user-based, opportunity, business). Identify opportunities in the market landscape.
Facilitate launches, maintenance, and retirement in collaboration with other cross-functional teams and stakeholders.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckRMrIKE67mXe9rmhCcl_DPIPrOWcQrnvpOmDxmZND97hEjsAvkGZm-Tqu4x5pgLo886HOJpHbbq1H7mWXuOkiEfF4JykmSAINHrcKSibCXwXLdVZyOqSjxh3F-Vn6Q%3D%3D_V2&loc=IN&title=Product+Manager
"Product Manager, Studio, Foundations, YouTube",139227259159356102,"Bengaluru, India","Articulate defined product goals in a way that captures attention and compels others to drive action despite obstacles and engaging priorities. 
Seek a technical Product Manager to lead the YouTube Creator Data Platform (CDP), a foundational initiative at the heart of our creator ecosystem.
Own the strategy, roadmap, and execution for a platform that powers seamless, secure, and personalized features for millions of YouTube creators.
Work cross-functionally with engineering, data science, and operations to build scalable infrastructure, drive data-driven personalization, enhance problem-solving and predictability, and ensure governance.
Track record of shipping complex technical products, and the ability to translate intricate data challenges into elegant solutions that empower both our creators and our support agents.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckR7NOzTFFC5IzjvtG5ZjaLw5IMI6CdYVNXzG3aRCId8bEjsAvkGZm8uiAsigfr4I5CDYtAQ8jnK9CJ2yylSkYKiphUwPXRjARN9hPxLuxv4YohMBF1xv6dJPyGlAeA%3D%3D_V2&loc=IN&title=Product+Manager
"Product Manager, Studio, GenAI, YouTube",84297444942062278,"Bengaluru, India","Redefine the speed of innovation by turning the vibe coding dream into a functional reality. 
Build an AI-native prototyping engine that doesn't just generate static mockups, but creates fully functional, data-ready prototypes in a single day.
Architect a system where GenAI can securely access real creator data and inherit YouTube’s visual language by default, you will enable teams to bypass months of backend development.
Move beyond simulated demos to putting real, working tools into the hands of creators for immediate, high-fidelity testing, ensuring we build only what guide value.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2Fckbo3DVuqMGvv5d-nzd4cPCKQ2wa40_m30lphtB6iPcfFEjsAvkGZmyF_wrURsyHO9zGLnbvQ1_hx-Tzz5oQaFSfzA0zurHGZAuUwWII96Ae9Tya7CnJqmKcTgqtJIA%3D%3D_V2&loc=IN&title=Product+Manager
"Senior Product Manager, YouTube, Creation and Platform",131926720994255558,"Bengaluru, India","Define and own a strategy, product outlook, road map, and success metrics.
Lead the development and improvement of YouTube Live creation tools and third-party creation ecosystem.
Understand user needs, translating insights into engaging product experiences.
Drive cross-functional collaboration across teams to ensure the product launches and adoption, including product positioning and go-to-market strategies.
Assess performance of the products via experimentation, user research and other analytical modeling. Iterate to drive further hypotheses and product ideation based on insights.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2Fckd2dMxT0X5h9kw00RLGBkJ0PSRI4LQnLsfajVjfh0DWJEjsAvkGZm0rjegN4Xx_jJOoOaoAWSkFSEzqrbt6s3V2QMkO2dFZCoAExqPjFIEN5yV940MB9JX_semFMBw%3D%3D_V2&loc=IN&title=Senior+Product+Manager
"Product Manager, Google Cloud Infrastructure",130907773289276102,"Bengaluru, India","Define, own, and lead the product idea, strategy, and roadmap for scaling fleet defragmentation, aligning with spatial flex's overall objectives and user needs.
Understand the challenges and opportunities in fleet defragmentation, including power constraints, service move complexities, and tooling gaps.
Engage with key stakeholders (e.g., PARMs, central planners, service owners, SREs, finance) to gather requirements, understand pain points, and validate product direction.
Translate user needs and business goals into clear and concise product requirements documents (PRDs), user stories, and specifications.
Collaborate with engineering teams to guide product development, make trade-off decisions, and ensure timely delivery of high-quality solutions.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckcqkDVluPxRzx_xMO4yiF4fZzXeqba_mUIb8l0E_iL_nEjsAvkGZm4XKPJj3Wd8m_HxBmccdD1df3-Fc2DuQOxDOn2wcPhwIBW5FBVn8nc7xyxW6H5Q1lpx3n76QlA%3D%3D_V2&loc=IN&title=Product+Manager
"Product Manager, People Data",75812656518177478,"Bengaluru, India","Define and execute a product goal and roadmap that transforms legacy architectures into scalable, AI-ready frameworks to drive business outcomes.
Conduct continuous user research and deep discovery to validate the four big risks: value, usability, feasibility, and viability.
Articulate and translate the business value of a connected data ecosystem into tangible outcomes, such as reduced costs and improved digital experiences.
Align cross-functional leaders and global partners to ensure data products meet the requirements of multiple product areas.
Design unified data models and AI-first strategies that maintain strict adherence to privacy boundaries and secure governance.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2Fckeb_vBXlBK9GFZeycL4qzRiMrGKVkQD7ylUglA8bIpKBEjsAvkGZm39SihAWkjIHliStEdcS8X1cnCzPV20_2oAkZESU3K-a_Cvvxg4rDKQEOPp1qYH9F83GYr3zuw%3D%3D_V2&loc=IN&title=Product+Manager
"Senior Product Manager, Cloud SQL for MySQL",103005579454096070,"Bengaluru, India","Build a clear understanding of database technologies, market trends, and customer requirements, then use product insights to drive product strategy. Interact with customers and partners to understand their key requirements and help define a multi-year product roadmap.
Drive product development of innovative new capabilities, collaborating closely with Engineering, User Experience Design, Finance, Product Operations, Marketing, and Field teams.
Collaborate closely across teams to drive positioning, pricing, and Go-to-Market (GTM) strategy for our launches. Partner with the GTM team to scale the GTM activities for Cloud SQL for MySQL.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckehFv-9UK7RBEIdUHB50Seqt-yno2a-VKRY9cQGQaDeVEjsAvkGZm7DlrVCykbMgg7NR2QOk9jAAeOg7dapkciwBIDb6s10BUDkQ6QGGAfKOxtNKuRxOp6_i7ff4yA%3D%3D_V2&loc=IN&title=Senior+Product+Manager
"Senior Product Manager, Google Cloud Business Platforms",139746546475246278,"Bengaluru, India","Set the roadmap, gather requirements, identify risks, and work with all the stakeholders to deliver the best of Q2C, finance, accounting, and compliance products.
Launch new products and features, test their performance, and iterate quickly. Drive positioning and launch strategy for our solutions.
Understand how users and customers derive value from Google Cloud business platform solutions, establishing domain expertise inside and outside Google on customer use cases and requirements.
Own PRD's (Product Requirement Documents), build detailed enablement content for new solutions.
Develop innovative solutions to hard problems by collaborating as needed across regions, areas, and functions.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckRDVPNaeo_T_tiDBOK4pC5Igd_u7bQe9ZepjFvp-cUoWEjsAvkGZm_ovm08EC7nU7796Q5F73qoQ1rE6tXisihirgEjIJegJWGzD2rAuSeQOpWnC2itJvtDRVvk_NA%3D%3D_V2&loc=IN&title=Senior+Product+Manager
"Product Manager, Google One Growth",74032729728918214,"Bengaluru, India","Define the product outlook, strategy, and road map for the Google One growth platform, which powers our user communication and promotion engine across multiple channels (e.g., in-product promotions, emails, push notifications).
Lead the next generation of the growth platform to enable sophisticated, personalized user journeys and campaigns, driving user engagement and adoption of Google One benefits.
Collaborate with cross-functional partners including Engineering, UX, Data Science, and Marketing to define requirements, manage project execution, and  launch new products and features.
Define and own the product strategy for ensuring Google One's compliance with evolving regulations across multiple countries and regions. Partner with legal to stay informed of regulatory changes and translate them into product requirements.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckX8GndKsM_H-s1nFvBj1S7vpQl8pOkmT_nXBst9t2TQnEjsAvkGZm4tPEEPdj_bk6I1v3YDxpe-ycOHlNdgaSQXfrD7yaXk7Nih3OrJpQMhBJT-nmlZiO6Kvl2vgxQ%3D%3D_V2&loc=IN&title=Product+Manager
"Product Manager, Google Cloud Business Platform",97253345055384262,"Bengaluru, India","Set the road map, gather requirements, identify risks, and work with all the stakeholders to deliver excellent Q2C, finance, accounting and compliance products.
Understand how users and customers derive value from Cloud business platform solutions, establishing domain expertise inside and outside Google on customer use cases and requirements.
Launch new products and features, test their performance, and iterate. Drive positioning and launch strategy for our solutions.
Operate with customer empathy. Work cross-functionally and partner with engineering and business organizations.
Develop solutions to hard problems by collaborating as needed across regions, areas, and functions.",https://www.google.com/about/careers/applications/signin?jobId=CiUAL2FckYIT4zRwH3CiQws-mHGSJbf8rVQB8wL194XmTDEZIyWZEjsAvkGZm2EEBOfpkciS_EM996xPEAc-zaZ3QdE3L46LgeuWoNJI6UQtrb_EdIE5o8DwFwFYkkGNGBHtKA%3D%3D_V2&loc=IN&title=Product+Manager
